NC,sentence_nat_1,tag_sentence_nat_1,sentence_nat_2,tag_sentence_nat_2,sentence_nat_3,tag_sentence_nat_3,comp_score,gold_syn_1,gold_syn_2,gold_syn_3,sentence_neut,tag_sentence_neut,word_1,word_x,word_2,wordsyn
colpo di coda,"Tornando alla notizia , mi chiedo questo è l ' ultimo colpo di coda della "" vecchia concertazione "" o il primo della "" nuova concertazione "" ?","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Non manca il colpo di coda finale che sembra per un attimo annullare ( non come nel libro dove ci si spinge molto più in là ) ogni distanza di sicurezza tra guardia e ladro : efficace e spettacolare .,"[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Ciò a cui la Chiesa cattolica romana ha dato avvio con il pontificato di Giovanni Paolo II non può essere scambiato per il colpo di coda di un ' istituzione superata dai tempi , sopravvissuta a se stessa , abbarbicata in una guerra di difesa .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,reazione finale,ultimo scatto,ritorno di fiamma,Questo è un colpo di coda.,"[False, False, False, True, True, True]",urto,di,appendice,urto di appendice
convitato di pietra,"Ma allora si credeva ancora che il convitato di pietra , l ' ostacolo al giro di boa dell ' Unione in Rai , l ' algido Angelo Maria Petroni , consigliere nominato dall ' azionista , il ministero dell ' Economia , sarebbe stato rimosso .","[False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Finalmente a Rimini è arrivato anche il "" convitato di Pietra "" : Sergio Marchionne , l ' ad della Fiat .","[False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",Ma il partito di Malpensa ora teme di perdere la sfida * MILANO - Il convitato di pietra continua ad abitare a Malpensa .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False]",,ospite inatteso,presenza inquietante,figura silenziosa ma influente,Questo è un convitato di pietra.,"[False, False, False, True, True, True]",commensale,di,roccia,ospite di roccia
tessera sanitaria,In un prossimo futuro sarà possibile attivare la propria tessera sanitaria anche presso l'ufficio relazioni con il pubblico del Comune.,"[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]","Il pagamento dovrà avvenire dopo aver presentato all'Ufficio Servizi Cimiteriali, apposita istanza per il pagamento del canone, allegando fotocopia del documento di riconoscimento in corso di validità e della tessera sanitaria .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Appurata la falsità delle patenti e della tessera sanitaria esibita da uno dei due uomini, gli accertamenti dattiloscopici hanno poi portato alla scoperta delle loro reali identità.","[False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,tesserino,codice fiscale plastificato,documento per cure mediche,Questa è una tessera sanitaria.,"[False, False, False, True, True]",carta,,medica,carta medica
mina vagante,"Se poi la ragazzina fosse stata sua nipote , e se le private fantasie del personaggio non preludessero affatto a pratiche criminali , pazienza , meglio un innocente di più in galera che una mina vagante pericolosa per la società .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]","Anche chi , come il sottoscritto , tende a reagire con fastidio ai resoconti giornalistici sulla diffusione di virus via Rete deve ammettere che lo scaricamento selvaggio è una vera e propria mina vagante per la sicurezza su Internet .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Earth Tuner 1.3 beta Web Stereo 3.0 DRS 2006 1.3 Y2K Il baco del millennio : una mina vagante o una bufala ?,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",,pericolo imprevedibile,elemento instabile,rischio latente,Questa è una mina vagante.,"[False, False, False, True, True]",ordigno,,errante,ordigno errante
mare aperto,Quella per il regatare in mare aperto è una passione che torna a prendere piede nella vela sportiva italiana.,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","E' possibile vivere un'esperienza unica accedendo alla grotta dal mare aperto , tramite un suggestivo tunnel.","[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]","Riesco a convincere il proprietario ad effettuare il rilascio non come voleva fare lui in mare aperto e di giorno, ma in spiaggia e di sera dopo il tramonto.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",,alto mare,acque internazionali,distesa marina,Questo è un mare aperto.,"[False, False, False, True, True]",acque,,spalancate,acque spalancate
vitello grasso,Mesi che Francesco Rutelli manda sorridenti messaggi di apertura a ogni figliol prodigo che all ' incubo delle vacche magre berlusconiane preferirebbe un vitello grasso prodiano .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False]","Portate il vitello grasso , ammazzatelo , mangiamo e facciamo festa , perché questo mio figlio era morto ed è tornato in vita , era perduto ed è stato ritrovato "" .","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Il servo gli rispose : "" È tornato tuo fratello e il padre ha fatto ammazzare il vitello grasso , perché lo ha riavuto sano e salvo "" .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",,grande festeggiamento,festa del ritorno,accoglienza sontuosa,Questo è un vitello grasso.,"[False, False, False, True, True]",bovino,,sovrappeso,bovino sovrappeso
mostro sacro,"Sordi interpreta e dirige "" Vacanze intelligenti "" , con il quale riesce persino ad ironizzare , con grande maestria , su un mostro sacro della cultura italiana : la Biennale d ' Arte di Venezia .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","com Un altro "" mostro sacro "" della moda francese , Yves Saint Laurent , ha allestito un sito .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Anche perché ormai da tempo è diventato un ' icona , un mostro sacro , una sorta di parametro assoluto della grande recitazione .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",,icona intoccabile,presenza ingombrante,grande personalità,Questo è un mostro sacro.,"[False, False, False, True, True]",creatura,,benedetta,creatura benedetta
botta di vita,"Traduzione fra le righe : Roma è una caotica capitale di simpatici casinari e per noi che viviamo tutto l ' anno in una civile normalità , questa botta di vita e di caos ci elettrizza , ma soltanto per qualche giorno .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","1988 89 Nel periodo natalizio esce nelle sale il film "" Una botta di vita "" , diretto da Enrico Oldoini , sceneggiato e interpretato dallo stesso Sordi .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Se vuoi darti una botta di vita , non c ' è bisogno di scomodare avvocati e carte bollate , puoi farlo comunque , io l ' ho sempre fatto .","[False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,momento di vitalità,scossa di energia,esperienza entusiasmante,Questa è una botta di vita.,"[False, False, False, True, True, True]",percosse,di,esistenza,percosse di esistenza
animale domestico,"Se vuoi trovare a Livorno un negozio che si occupi della cura e del benessere del tuo animale domestico , Sheva propone un vasto assortimento di prodotti per il tuo animale, a prezzi veramente competitivi, comodamente in città.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","La presenza di un cane, di un gatto e, più in generale, di un animale domestico in casa non è incompatibile con quella di un bambino piccolo ma anzi può rappresentare uno stimolo importante per la sua crescita psicologica ed affettiva.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Anche il timido animale domestico non sarà mai spaventato dalla fontana di acqua potabile del gatto.,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]",,cucciolo,animale da compagnia,animale di casa,Questo è un animale domestico.,"[False, False, False, True, True]",bestia,,casalinga,bestia casalinga
cane bastonato,"Infine , la polizia svolge i suoi compiti nell ' indifferenza generale : il poliziotto ( che noi conosciamo dall ' interno grazie alla voce narrante ) si sente come un cane bastonato .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","All ' inizio m ' usciva una voce da cane bastonato che certo non favoriva il contatto , ma dopo un po ' mi ripresi , perché è simpatica e umana questa gente delle osterie e si diventa subito amici .","[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Terminata la funzione , messer Rinaldo si rivolse al fido intendente , un omaccione che stava lì a capo chino come un cane bastonato : "" Chi l ' ha scoperta ?","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False]",,persona umiliata,persona rimproverata,individuo sottomesso,Questo è un cane bastonato.,"[False, False, False, True, True]",segugio,,percosso,segugio percosso
anatra zoppa,"Nell ' ipotesi che viene definita « anatra zoppa » , al centrodestra andrebbero circa 46 seggi più quello che scatta al candidato Cuffaro , totale 47 .","[False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Non è un ' anatra zoppa , Juncker , o almeno non ancora : « Non lo è se viene in parlamento e risponde in maniera convincente ad accuse gravissime » , dice ad esempio all ' Espresso l ' eurodeputato Pd David Sassoli .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Anatra zoppa Juncker resterà probabilmente al suo posto per non turbare , per ora , gli equilibri faticosamente raggiunti nella spartizione del potere continentale .","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,politico incapace,governo indebolito,figura politica in declino,Questa è una anatra zoppa.,"[False, False, False, True, True]",pennuto,,claudicante,pennuto claudicante
pomo della discordia,"Venerato da Cragnotti e vituperato dallo stesso , Lei è diventato a Roma il pomo della discordia : c ' è chi ha raccolto firme per trattenerla e chi ha agitato striscioni per cacciarla .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",""" È proprio il famoso articolo sui "" permessini "" , il "" pomo della discordia "" della Circolare Bazzocchi .","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False]","Milton "" scivola "" su una banana e Costanzo lo caccia da Buona Domenica ( Partenopress ) - La banana non è solo "" l ' unico frutto dell ' amor "" , ma anche un valido pomo della discordia .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",,motivo di lite,origine del dissenso,elemento controverso,Questo è un pomo della discordia.,"[False, False, False, True, True, True]",mela,della,divergenza,mela della divergenza
braccino corto,""" È quello che succede ad avere il braccino corto , Mimmo "" lo punzecchia la matrona che forse gli compete .","[False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","In questo , anzi , Chruscev fu persino più spendaccione di Stalin , che in verità in fatto di ricompense aveva un pó il braccino corto .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Altro che braccino corto , le mani della defunta dovevano essere attaccate direttamente sotto la spalla .","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",,avarizia,spilorceria,tirchieria,Questo è un braccino corto.,"[False, False, False, True, True]",arto,,breve,arto breve
man forte,"Possibilmente al capolinea , in modo da farci ascoltare da qualche decina di altri utenti che possano darci man forte .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",", hanno infatti capito le potenzialità dei tre milioni di computer collegati in Rete ed hanno calcolato che se solo cinquantamila PC daranno loro man forte , la potenza di calcolo complessiva raggiungerà quella dei maggiori progetti che fanno invece uso di sofisticati e costosi supercalcolatori .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Perotti corre subito ai ripari e inserisce un ' altra punta , Tavano , a dare man forte a Rocchi .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]",,aiuto,sostegno,supporto,Questa è una man forte.,"[False, False, False, True, True]",arto,,robusto,arto robusto
sangue blu,"Non soltanto quando si esibisce in teatro o in alcuni locali romani , ma nella sua vita quotidiana di single dal sangue blu .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Era sempre calma e disponibile , non solo verso i nobili di corte , ma , cosa rara per una persona di sangue blu , anche verso la servitù , e mio padre era molto soddisfatto della scelta fatta .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","- Ho letto che il capostipite della tua dinastia non era di sangue blu , ma figlio di una poverissima famiglia contadina che , per salvarlo dalle loro difficoltà e dai loro stenti , lo avevano assegnato , come garzone , ad un potente mago .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,nobiltà,aristocrazia,lignaggio elevato,Questo è un sangue blu.,"[False, False, False, True, True]",plasma,,azzurro,plasma azzurro
laurea magistrale,La laurea magistrale si declina su cinque diversi curricula di cui uno tenuto interamente in lingua inglese.,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Ed è grazie all'esperienza acquisita durante il corso di laurea magistrale in Informazione ed editoria se mi sono adattato a finalità e modalità di scrittura per me nuove.,"[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Possono partecipare i cittadini italiani e stranieri in possesso della Laurea Magistrale in Giurisprudenza o di titolo equipollente conseguito in Italia o all'estero.,"[False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]",,master,titolo di secondo livello,laurea specialistica,Questa è una laurea magistrale.,"[False, False, False, True, True]",titolo,,specialistico,titolo specialistico
fuoco di paglia,"Per quanto riguarda il suo futuro , non si tratta di un fuoco di paglia ; a parte la sua storia , basta considerare l ' interesse di aziende come Novell a seguire in funzione "" anti - Microsoft "" l ' evoluzione delle distribuzioni .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Ma questo è un fuoco di paglia o un fenomeno destinato a cambiare le regole del gioco nel mercato dei servizi bancari ?,"[False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Purtroppo si tratta dell ' ennesimo fuoco di paglia : anche questo appello verrà archiviato assieme ai testi delle interrogazioni parlamentari , come dimostrano i sequestri degli anni successivi , effettuati con la stessa cultura , gli stessi criteri e gli stessi metodi operativi del '94 .","[False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,entusiasmo breve,passione effimera,illusione effimera,Questo è un fuoco di paglia.,"[False, False, False, True, True, True]",fiammata,di,stame,fiammata di stoppa
pecora nera,Ecco la famiglia Tenenbaum fatta tutta di pecore nere . In ogni famiglia c ' è una pecora nera .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",""" Froissy , non posso correre il rischio che una pecora nera si sia infiltrata all 'Anticrimine."" "" Per venire a fare cosa ?","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","Lui , che si definisce il "" ladro "" , dice di essere la "" pecora nera "" di una famiglia di persone apposto .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False]",,elemento ribelle,eccezione,elemento diverso,Questa è una pecora nera.,"[False, False, False, True, True]",ovino,,scuro,ovino scuro
sacco di patate,"Eppure al collega di Brescia avevo detto : "" Se per caso Tognoli non si trova in casa , non andate come un sacco di patate a bussare , accertatevi prima se c ' è "" ; .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","Ma era già morto nel momento in cui cadde , infatti , era come un grande sacco di patate .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",""" Tre sterline per un po ' d ' acqua e zucchero ? Potresti comperarci un sacco di patate da venti chili ! ""","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False]",,individuo goffo,peso inerte,persona flaccida,Questo è un sacco di patate.,"[False, False, False, True, True, True]",busta,di,tuberi,busta di tuberi
notte bianca,"Era anche l ' attesa Notte Bianca e i romani non hanno fatto un « plissè » , direbbero quelli delle sfilate d ' Alta Moda .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","A Venosa la Pro Loco con denaro pubblico ha dato 6.000 euro a Fabrizio Corona per andare alla notte bianca , tremila persone hanno raccolto firme contro e sono andati a contestare questo cialtrone in piazza .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","E pochi , in effetti , dormiranno tra una settimana , quando il capoluogo lariano festeggerà la sua prima notte bianca .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,veglia festiva,apertura serale,festa in città,Questa è una notte bianca.,"[False, False, False, True, True]",oscurità,,candida,oscurità candida
zona cesarini,"Una delle più brutte della stagione , così come era già successo col Milan , vince in zona Cesarini grazie ad un Nedved fin lì deludente .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False]","La zona Cesarini è stata amica anche di Palermo e Ternana che proprio all ' ultimo tuffo hanno piegato , rispettivamente , Ascoli e Catania .","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Anche questa volta sono giunto "" in zona cesarini "" , all ' ultimo momento cioè , ma sono giunto .","[False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",,ultimo minuto,momenti finali,ultima possibilità,Questa è una zona cesarini.,"[False, False, False, True, True]",area,,giocatore,area giocatore
effetto speciale,"Accendere un fuoco nella tua mano, un ottimo effetto speciale che spaventerà il pubblico.","[False, False, False, False, False, False, False, False, True, True, False, False, False, False]","Dipende tutto dalla storia e da come coinvolgi gli spettatori nella narrazione, come riesci a fargli dimenticare dove sono, chi gli siede accanto, che si trovano in un cinema o anche che c'è un effetto speciale .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Nota: ci sono campagne pubblicitarie, o singoli annunci o film, che superano momentaneamente la barriera del disinteresse con qualche effetto speciale un particolare trucco, unesecuzione brillante, la presenza di un personaggio di cui si parla.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,trucco scenico,artificio visivo,illusione cinematografica,Questo è un effetto speciale.,"[False, False, False, True, True]",risultato,,particolare,risultato particolare
supplemento d'indagine,"Lo scopo di questo documento è fornire le indicazioni minime per lo studio del cuore tramite ecografo, fornendo così un utile supplemento d'indagine diagnostica.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Le numerose proteste sorte in rete riguardo le modalità dell'adeguamento hanno spinto il Ministro Bray a richiedere un supplemento d'indagine , ma a difendere a spada tratta il provvedimento è ancora il presidente SIAE, e famoso cantautore, Gino Paoli.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Nei loro confronti, il gip Isabella Iasella ha ordinato al pm un supplemento d'indagine per ascoltare imprenditori e politici che potrebbero essere a conoscenza di fatti penalmente rilevanti.","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,approfondimento investigativo,inchiesta aggiuntiva,perizia ulteriore,Questo è un supplemento d'indagine.,"[False, False, False, True, True]",aggiunta,d',accertamento,aggiunta d' accertamento
colpo di spugna,"Che poi dietro all ' articolato progetto vi sia un ' antica questione tra i Liechtenstein e lo Stato austriaco , ora cancellata con un danubiano colpo di spugna , è un ulteriore effetto che soddisfa tutti .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False]","Se n ' era invaghito perdutamente e per lei avrebbe abbandonato moglie , figli , casa , dando un colpo di spugna al passato con disinvoltura .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False]","Non potrei , gli ultimi tre anni sono costellati di esperienze condivise , di affetto sincero , di fiducia reciproca , e non posso permettere alla mia coscienza di cancellarli con un colpo di spugna , e ricominciare da capo .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False]",,cancellazione totale,amnistia di fatto,oblio completo,Questo è un colpo di spugna.,"[False, False, False, True, True, True]",tocco,di,tessuto poroso,tocco di tessuto poroso
vecchio bacucco,"Non mi giudicare un vecchio bacucco , non siamo troppo diversi tu e io , in un modo o nell ' altro abbiamo deciso di non intervenire e di farci i fatti nostri .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Dopo il manicomio e il soggiorno a Kislovodsk , il direttore finanziario , vecchio bacucco e con la testa che gli tremava , notificò al Varieté le sue dimissioni .","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Preparameli , intanto che ti passano le tue cose , vecchia bacucca .","[False, False, False, False, False, False, False, False, False, False, True, True, False]",,vecchio,anziano,matusalemme,Questo è un vecchio bacucco.,"[False, False, False, True, True]",anziano,,decrepito,anziano decrepito
pecorella smarrita,"Due altre parabole notissime sono quelle della Pecorella Smarrita e del Figliol Prodigo , che intendono esaltare il ruolo del pentimento e del ritorno all ' ovile o alla casa del padre .","[False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Credo che vorrebbe annettermi al gregge , che mi consideri un po ' come la pecorella smarrita , e si senta in dovere di salvarmi .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]","Un fiume di stronzate di cui capivo poco o niente e in cui avevo intrappolato me stessa , prima ancora della mia pecorella smarrita .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,peccatore,membro perso del gruppo,anima persa,Questa è una pecorella smarrita.,"[False, False, False, True, True]",ovino,,disperso,ovino disperso
carta di credito,"Dopo aver scelto il bookmaker regolamentato di particolare interesse, ci sarà richiesto di compilare un form online nel quale si devono inserire i propri dati personali e quelli della propria carta di credito o di debito.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False]",L'aumento della richiesta di questa tipologia di carta di credito è stato sensibilmente influenzato dalla facilità con cui questa forma di carta di credito è stata rilasciata.,"[False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Due anni fa, in un'intervista a Le Monde aveva detto di non aver paura. ""Non ho figli, moglie, macchina o carta di credito .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",,tessera di pagamento,moneta elettronica,tessera bancaria,Questa è una carta di credito.,"[False, False, False, True, True, True]",tessera,di,valore,tessera di valore
fila indiana,"La salita faticosa sarebbe durata quattro ore, gambe indolenzite , una sosta ogni ora, di cinque minuti, una sorsata e ricominciare in fila indiana .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","È composto da una carovana di bambini che procede in fila indiana , accompagnata da due adulti, con capolinea, fermate, orari e un suo percorso prestabilito.","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","E invece una cinquantina di studenti di Sociologia ne ha approfittato per inscenare una contestazione al leader del Pds , Massimo D ' Alema , e a quello della Cgil , Sergio Cofferati , che insieme col direttore della Confindustria , Innocenzo Cipolletta , erano i protagonisti della tavola rotonda al Centro Forum : una sala abbastanza grande da contenere qualche centinaio di persone , ma che è diventata improvvisamente piccola quando gli studenti , in fila indiana , sono entrati , si sono ammassati in un angolo e hanno spiegato due striscioni .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,successione singola,uno dietro l’altro,coda ordinata,Questa è una fila indiana.,"[False, False, False, True, True]",coda,,asiatica,coda asiatica
pressione atmosferica,La pressione che l'esecutore deve forzare nella bocca per permettere l'instaurarsi del suono supera la pressione atmosferica di circa l'1% (circa 1 kPa).,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False]","È stata mantenuta una barriera secondaria nella zona di ricezione dell'equipaggio e nel laboratorio di campionamento, mantenendo le aree a pressione negativa rispetto alla pressione atmosferica esterna all'edificio.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False]",Oltre a tutte queste funzioni sopra elencate questo prodotto possiede un'indicatore di pressione atmosferica con la tracciabilità di tutti i dati registrati delle ultime 12 ore.,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",,pressione dell'aria,valore barometrico,tensione d'aria,Questa è una pressione atmosferica.,"[False, False, False, True, True]",spinta,,aerea,spinta aerea
